ID,Product ID,Cost Price,Selling Price,Discount,Quantity,Quarters,Year,Month,Day,Date
1,1,100,120,7.28,1,1,2020,1,1,1/1/2020
2,2,200,240,12.16,6,1,2020,1,1,1/1/2020
3,3,300,360,14.88,6,1,2020,1,1,1/1/2020
4,4,400,480,7.55,8,1,2020,1,1,1/1/2020
5,1,100,120,12.27,8,1,2020,1,2,1/2/2020
6,2,200,240,14.4,6,1,2020,1,2,1/2/2020
7,3,300,360,8.23,6,1,2020,1,2,1/2/2020
8,4,400,480,9.61,3,1,2020,1,2,1/2/2020
9,1,100,120,9.13,4,1,2020,1,3,1/3/2020
10,2,200,240,14.5,6,1,2020,1,3,1/3/2020
11,3,300,360,11.42,2,1,2020,1,3,1/3/2020
12,4,400,480,12.54,3,1,2020,1,3,1/3/2020
13,1,100,120,9.09,3,1,2020,1,4,1/4/2020
14,2,200,240,8.01,1,1,2020,1,4,1/4/2020
15,3,300,360,8.67,5,1,2020,1,4,1/4/2020
16,4,400,480,12.95,7,1,2020,1,4,1/4/2020
17,1,100,120,14.18,4,1,2020,1,5,1/5/2020
18,2,200,240,6.37,3,1,2020,1,5,1/5/2020
19,3,300,360,5.51,1,1,2020,1,5,1/5/2020
20,4,400,480,14,1,1,2020,1,5,1/5/2020
21,1,100,120,12.62,6,1,2020,1,6,1/6/2020
22,2,200,240,8.53,8,1,2020,1,6,1/6/2020
23,3,300,360,8.99,1,1,2020,1,6,1/6/2020
24,4,400,480,5.94,1,1,2020,1,6,1/6/2020
25,1,100,120,11.96,1,1,2020,1,7,1/7/2020
26,2,200,240,6.12,8,1,2020,1,7,1/7/2020
27,3,300,360,6.59,3,1,2020,1,7,1/7/2020
28,4,400,480,12.07,7,1,2020,1,7,1/7/2020
29,1,100,120,5.99,3,1,2020,1,8,1/8/2020
30,2,200,240,10.78,3,1,2020,1,8,1/8/2020
31,3,300,360,14.15,1,1,2020,1,8,1/8/2020
32,4,400,480,10.1,1,1,2020,1,8,1/8/2020
33,1,100,120,13.03,7,1,2020,1,9,1/9/2020
34,2,200,240,7.46,1,1,2020,1,9,1/9/2020
35,3,300,360,12.96,6,1,2020,1,9,1/9/2020
36,4,400,480,13.2,8,1,2020,1,9,1/9/2020
37,1,100,120,5.38,1,1,2020,1,10,1/10/2020
38,2,200,240,10.91,8,1,2020,1,10,1/10/2020
39,3,300,360,6.3,4,1,2020,1,10,1/10/2020
40,4,400,480,14.31,3,1,2020,1,10,1/10/2020
41,1,100,120,12.71,3,1,2020,1,11,1/11/2020
42,2,200,240,13.63,3,1,2020,1,11,1/11/2020
43,3,300,360,10.11,9,1,2020,1,11,1/11/2020
44,4,400,480,10.48,8,1,2020,1,11,1/11/2020
45,1,100,120,13.19,8,1,2020,1,12,1/12/2020
46,2,200,240,11.38,2,1,2020,1,12,1/12/2020
47,3,300,360,9.09,7,1,2020,1,12,1/12/2020
48,4,400,480,6.83,7,1,2020,1,12,1/12/2020
49,1,100,120,7.16,9,1,2020,1,13,1/13/2020
50,2,200,240,8.13,7,1,2020,1,13,1/13/2020
51,3,300,360,12.32,2,1,2020,1,13,1/13/2020
52,4,400,480,9.11,7,1,2020,1,13,1/13/2020
53,1,100,120,8.82,7,1,2020,1,14,1/14/2020
54,2,200,240,11.62,1,1,2020,1,14,1/14/2020
55,3,300,360,13.06,7,1,2020,1,14,1/14/2020
56,4,400,480,13.24,6,1,2020,1,14,1/14/2020
57,1,100,120,6.98,9,1,2020,1,15,1/15/2020
58,2,200,240,10.37,8,1,2020,1,15,1/15/2020
59,3,300,360,9.57,2,1,2020,1,15,1/15/2020
60,4,400,480,8.52,4,1,2020,1,15,1/15/2020
61,1,100,120,6.19,8,1,2020,1,16,1/16/2020
62,2,200,240,5.42,1,1,2020,1,16,1/16/2020
63,3,300,360,7.76,2,1,2020,1,16,1/16/2020
64,4,400,480,14.78,5,1,2020,1,16,1/16/2020
65,1,100,120,9.4,2,1,2020,1,17,1/17/2020
66,2,200,240,11.53,7,1,2020,1,17,1/17/2020
67,3,300,360,6.18,8,1,2020,1,17,1/17/2020
68,4,400,480,14.49,2,1,2020,1,17,1/17/2020
69,1,100,120,6.47,3,1,2020,1,18,1/18/2020
70,2,200,240,7.78,9,1,2020,1,18,1/18/2020
71,3,300,360,13.66,2,1,2020,1,18,1/18/2020
72,4,400,480,5.95,9,1,2020,1,18,1/18/2020
73,1,100,120,6.14,6,1,2020,1,19,1/19/2020
74,2,200,240,14.41,2,1,2020,1,19,1/19/2020
75,3,300,360,5.13,3,1,2020,1,19,1/19/2020
76,4,400,480,9.98,1,1,2020,1,19,1/19/2020
77,1,100,120,14.56,1,1,2020,1,20,1/20/2020
78,2,200,240,13.89,5,1,2020,1,20,1/20/2020
79,3,300,360,7.03,3,1,2020,1,20,1/20/2020
80,4,400,480,5.45,7,1,2020,1,20,1/20/2020
81,1,100,120,9.88,3,1,2020,1,21,1/21/2020
82,2,200,240,9.46,1,1,2020,1,21,1/21/2020
83,3,300,360,11.8,2,1,2020,1,21,1/21/2020
84,4,400,480,11.8,7,1,2020,1,21,1/21/2020
85,1,100,120,11.45,6,1,2020,1,22,1/22/2020
86,2,200,240,7.05,5,1,2020,1,22,1/22/2020
87,3,300,360,8.15,7,1,2020,1,22,1/22/2020
88,4,400,480,13.35,6,1,2020,1,22,1/22/2020
89,1,100,120,10.86,9,1,2020,1,23,1/23/2020
90,2,200,240,14.57,3,1,2020,1,23,1/23/2020
91,3,300,360,11.16,1,1,2020,1,23,1/23/2020
92,4,400,480,14.95,5,1,2020,1,23,1/23/2020
93,1,100,120,13.67,2,1,2020,1,24,1/24/2020
94,2,200,240,9.18,2,1,2020,1,24,1/24/2020
95,3,300,360,5.61,4,1,2020,1,24,1/24/2020
96,4,400,480,10.65,6,1,2020,1,24,1/24/2020
97,1,100,120,14.53,6,1,2020,1,25,1/25/2020
98,2,200,240,13.29,9,1,2020,1,25,1/25/2020
99,3,300,360,6.47,8,1,2020,1,25,1/25/2020
100,4,400,480,10.86,8,1,2020,1,25,1/25/2020
101,1,100,120,9.97,5,1,2020,1,26,1/26/2020
102,2,200,240,6.6,5,1,2020,1,26,1/26/2020
103,3,300,360,6.22,9,1,2020,1,26,1/26/2020
104,4,400,480,9.19,2,1,2020,1,26,1/26/2020
105,1,100,120,13.08,2,1,2020,1,27,1/27/2020
106,2,200,240,14.34,3,1,2020,1,27,1/27/2020
107,3,300,360,12.56,8,1,2020,1,27,1/27/2020
108,4,400,480,12.86,2,1,2020,1,27,1/27/2020
109,1,100,120,11.8,5,1,2020,1,28,1/28/2020
110,2,200,240,8.95,1,1,2020,1,28,1/28/2020
111,3,300,360,7.29,4,1,2020,1,28,1/28/2020
112,4,400,480,9.15,8,1,2020,1,28,1/28/2020
113,1,100,120,12.49,9,1,2020,1,29,1/29/2020
114,2,200,240,10.85,5,1,2020,1,29,1/29/2020
115,3,300,360,11.85,5,1,2020,1,29,1/29/2020
116,4,400,480,14.16,9,1,2020,1,29,1/29/2020
117,1,100,120,11.34,3,1,2020,1,30,1/30/2020
118,2,200,240,9.92,3,1,2020,1,30,1/30/2020
119,3,300,360,7.29,1,1,2020,1,30,1/30/2020
120,4,400,480,6.48,4,1,2020,1,30,1/30/2020
121,1,100,120,13.17,5,1,2020,1,31,1/31/2020
122,2,200,240,5.26,6,1,2020,1,31,1/31/2020
123,3,300,360,11.86,7,1,2020,1,31,1/31/2020
124,4,400,480,14.32,5,1,2020,1,31,1/31/2020
125,1,100,120,11.24,6,1,2020,2,1,2/1/2020
126,2,200,240,8.61,9,1,2020,2,1,2/1/2020
127,3,300,360,5.47,9,1,2020,2,1,2/1/2020
128,4,400,480,7.98,9,1,2020,2,1,2/1/2020
129,1,100,120,7.58,1,1,2020,2,2,2/2/2020
130,2,200,240,8.08,9,1,2020,2,2,2/2/2020
131,3,300,360,9.89,6,1,2020,2,2,2/2/2020
132,4,400,480,9.15,7,1,2020,2,2,2/2/2020
133,1,100,120,13.2,3,1,2020,2,3,2/3/2020
134,2,200,240,14.56,5,1,2020,2,3,2/3/2020
135,3,300,360,7.31,9,1,2020,2,3,2/3/2020
136,4,400,480,6.99,2,1,2020,2,3,2/3/2020
137,1,100,120,13.63,6,1,2020,2,4,2/4/2020
138,2,200,240,9.58,1,1,2020,2,4,2/4/2020
139,3,300,360,9.28,8,1,2020,2,4,2/4/2020
140,4,400,480,6.18,1,1,2020,2,4,2/4/2020
141,1,100,120,13.11,7,1,2020,2,5,2/5/2020
142,2,200,240,5.04,8,1,2020,2,5,2/5/2020
143,3,300,360,11.06,5,1,2020,2,5,2/5/2020
144,4,400,480,7.47,6,1,2020,2,5,2/5/2020
145,1,100,120,13.84,4,1,2020,2,6,2/6/2020
146,2,200,240,9.96,6,1,2020,2,6,2/6/2020
147,3,300,360,10.27,7,1,2020,2,6,2/6/2020
148,4,400,480,8.94,7,1,2020,2,6,2/6/2020
